,Sample_ID,Layer,Tooth,dist_ERJ,combined_phos,depth,length_raw,sample_length
1,AXL59.1,III,AXL59,1.86,15.5,0.7,1.86,19
2,AXL59.2,III,AXL59,4.51,14.7,0.7,2.65,26
3,AXL59.3,III,AXL59,7.27,14.5,0.7,2.76,28
4,AXL59.4,III,AXL59,10.14,14.8,0.7,2.87,29
5,AXL59.5,III,AXL59,13,15.2,0.7,2.86,29
6,AXL59.6,III,AXL59,15.6,16.6,0.7,2.6,26
7,AXL59.7,III,AXL59,18.52,16.4,0.7,2.92,29
8,AXL59.8,III,AXL59,21.27,16.4,0.7,2.75,28
9,AXL59.9,III,AXL59,23.58,16.2,0.7,2.31,23
10,AXL59.10,III,AXL59,25.71,16.5,0.7,2.13,21
11,AXL59.11,III,AXL59,28.88,16.6,0.7,3.17,32
12,AXL59.12,III,AXL59,31.13,16.5,0.7,2.25,22
13,AXL59.13,III,AXL59,33.68,16.6,0.7,2.55,26
14,AXL59.14,III,AXL59,36.22,16.6,0.7,2.54,25
